text,spam
"Subject: re : sevil yamen  anne ,  thanks .  vince  from : anne labbe / enron @ enronxgate on 04 / 20 / 2001 01 : 31 pm  to : vince j kaminski / hou / ect @ ect  cc :  subject : sevil yamen  good news , i finally received the memo from legal that accompanies project  bonuses . i have left sevil a voice mail to contact me at her earliest  convenience . sevil should receive this payment on april 30 th .",0
"Subject: * free real estate info ! *  great news webmaster ,  finally - a foreclosure tycoon reveals his most closely guarded secrets !  for the first time ever , we are proud to bring you foreclosure ' s most closely guarded secrets - a complete , turn - key system to either owning your own home or making a fortune in foreclosure real estate without tenants , headaches and bankers .  free information for a revolutionary brand - new approach to show you exactly how to buy a foreclosure or make a fortune in foreclosure real estate in today ' s market .  are you ready to take advantage of this amazing information ?  webmaster , take this first step to improving your life in the next 2 minutes !  for free information click here :  to unsubscribe or change subscriber options click :  click here  - - - -  this sf . net email is sponsored by : thinkgeek  welcome to geek heaven .  http : / / thinkgeek . com / sf  spamassassin - sightings mailing list ",1
"Subject: re : good morning / afternoon  thanks vince . i ' ll get right on it .  john  at 08 : 10 am 4 / 2 / 01 - 0500 , you wrote :  >  > john ,  >  > the phone number for ken lay is ( 713 ) 853 - 6773 .  > my recommendation is to call mark palmer first and discuss the book  > with him . his recommendation will open the door . i shall mention this to  > him  > as well . mark ' s phone number is ( 713 ) 853 - 4738 .  >  > vince  >  >  >  >  >  >  > "" john d . martin "" on 03 / 30 / 2001 12 : 12 : 50 pm  >  > to : vkamins @ enron . com  > cc :  > subject : good morning / afternoon  >  >  > vince ,  >  > one of my colleagues here at baylor is writing a book about "" the business  > of heaven "" in which he interviews prominent business leaders . bob darden  > is his name and he ' s a former journalist and nice guy . he would like to  > contact ken lay about being one of his interviews . do you think this is  > possible ? if so , could you give me an address / phone numbers that bob might  > use to contact ken ' s secretary about setting up an interview ?  >  > if this is in any way "" not ok "" please just say so .  >  > see ya ,  >  > john  >  > > date : fri , 30 mar 2001 11 : 35 : 03 - 0600  > > from : robert darden  > > subject : yo !  > > x - sender : "" robert darden "" ( unverified )  > > to : j _ martin @ baylor . edu  > > organization : the door  > > x - mailer : mozilla 4 . 04 [ en ] c - flashnet ( win 95 ; i )  > >  > > hi john - - i enjoyed our meeting yesterday . this looks very promising .  > > meanwhile , as i mentioned at the table , i ' m getting a little nervous  > > about the book that is due june 1 .  > > one of the names on our "" wish "" list of interviewees for "" the business of  > > heaven "" is ken lay at enron .  > > would it be possible for you to give me a good address and phone number  > > for mr . lay ' s office ?  > > and may i mention your name in the cover letter ?  > > i would be forever indebted . i might even buy the next lunch .  > > bob  > > p . s . thanks for sharing your concerns about church yesterday , too . i ' m  > > genuinely sorry things didn ' t work out better and feel more than a  > > little embarrassed that i didn ' t work harder to make you guys feel more  > > welcome and connected . on the other hand , please know that mary and i  > > will always love you and consider you both friends . i know you ' ll be  > > happy at lake shore - - even as we miss you at 7 th !  > >  > john d . martin  > carr p . collins chair in finance  > finance department  > baylor university  > po box 98004  > waco , tx 76798  > 254 - 710 - 4473 ( office )  > 254 - 710 - 1092 ( fax )  > j _ martin @ baylor . edu  > web : http : / / hsb . baylor . edu / html / martinj / home . html  >  >  >  >  john d . martin  carr p . collins chair in finance  finance department  baylor university  po box 98004  waco , tx 76798  254 - 710 - 4473 ( office )  254 - 710 - 1092 ( fax )  j _ martin @ baylor . edu  web : http : / / hsb . baylor . edu / html / martinj / home . html",0
"Subject: internship opportunities  please respond to dear mr . kaminski ,  i have found the enrononline project a very interesting one and have enjoyed  working with everyone in the research department as well as those from other  departments . i am keenly interested in this area and was wondering if there  would be any summer internship opportunities . i have attached my resume to  this mail for your review and look forward to hearing from you soon .  thank you  ivy ghose  rice mba 2002  - resume . doc",0
"Subject: news review update  please respond to news review the news review site , http : / / www . news - review . co . uk  home of weekend city press review , now offers registered users two new features :  all registered users can now :  - do a text search in addition to a company search on the full six - year archive  - and set up favourite companies on their home page for easier and faster access  to articles within the review and the archive which relate to those companies  the best way to keep abreast of the weekend ' s financial news and views is to  receive an email copy of weekend city press review , either via the full review ,  or the clippings relating to specific companies in which you are interested .  registered users are invited to take up the free offer of a 4 week subscription  to any of the services , including pdf delivery of the review , and the clippings service .  to login please use this url :  you can download this weekend ' s full review free of charge at  http : / / www . news - review . co . uk / freepdf . pdf from 8 pm uk time this sunday  your username for this service is vkaminski  if you have forgotton your password you can retrieve it at  to remove yourself from this service please login and use the ' my profile ' option .  our ref wcprvl : vkaminski",0
"Subject: erac koch p + spread options  - - - - - - - - - - - - - - - - - - - - - - forwarded by stinson gibner / hou / ect on 01 / 29 / 2001  10 : 42 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  stinson gibner  01 / 29 / 2001 09 : 47 am  to : bob lee / na / enron @ enron , paulo issler / hou / ect @ ect , zimin lu / hou / ect @ ect  cc :  subject : erac koch p + spread options  booking spreadsheet in in o : \ research \ common \ projects \ exotic 2001 _ 0125 . xls  sheet where options are booked is called "" index deals "" .  - - stinson  - - - - - - - - - - - - - - - - - - - - - - forwarded by stinson gibner / hou / ect on 01 / 29 / 2001  09 : 43 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  mark fondren  01 / 26 / 2001 10 : 53 am  to : stinson gibner / hou / ect @ ect  cc :  subject : erac koch p + spread options  - - - - - - - - - - - - - - - - - - - - - - forwarded by mark fondren / hou / ect on 01 / 26 / 2001 10 : 53  am - - - - - - - - - - - - - - - - - - - - - - - - - - -  mark fondren  01 / 25 / 2001 12 : 07 pm  to : john l nowlan / hou / ect @ ect  cc : spencer vosko / hou / ect @ ect  subject : erac koch p + spread options  price 1 = wti cushing physical cash price ( wti nymex  contract ) for example , the april 2001  wti cushing price equals the aprol wti nymex  contract .  price 2 = koch oil posting for west texas / new mexico intermediate .  koch p + = price 1 - price 2  price 2 is calculated by subtracting 3 spreads from price 1  1 . koch posting / wti nymex basis spread  2 . 66 . 6 % ( aprilol / mayol wti nymex spread )  3 . 33 . 3 % ( aprilol / junol wti nymex spread )  example using 1 / 24 / 2001 wti settles aprol 28 . 31  mayol 27 . 72  junol 27 . 19  april 2001 koch posting = april 2001 wti nymex settlement -  koch / nymex basis spread - . 666 ( apr / may ) - . 333 ( apr / jun )  = 28 . 31 -  2 . 75 - . 666 ( . 59 ) - . 333 ( 1 . 12 )  = 28 . 31 -  2 . 75 - . 3929 - . 37296  = 24 . 794  koch p + = 28 . 31 - 24 . 794  = 3 . 516  please call with any questions  mark f  ext 853 - 1982",0
"Subject: undelivered mail returned to sender  this is the postfix program at host mx 2 . oi . com . br .  i ' m sorry to have to inform you that your message could not be  be delivered to one or more recipients . it ' s attached below .  for further assistance , please send mail to  if you do so , please include this problem report . you can  delete your own text from the attached returned message .  the postfix program  : host frontend . oi . com . br [ 200 . 222 . 115 . 18 ] said : 550 - mailbox  unknown . either there is no mailbox associated with this 550 - name or you  do not have authorization to see it . 550 5 . 1 . 1 user unknown ( in reply to  end of data command )",1
"Subject: remaining work  vince ,  i shipped you the paper along with my note to don . however , i wanted to  share with you what i feel are the remaining "" to dos "" . specifically ,  1 . we need to document carefully the forces that were behind the original  transformation of enron . specifically , the fallout from deregulation ( take  or pay contract defaults , etc . ) , the impact of the losses from the oil  trading operation , the nationalization of the peruvian pipeline , and the  leveraging up to fend off the carl ichan takeover attempt .  2 . we need to complete / beef up the network strategy section .  3 . finally , the concluding section needs to be carefully crafted to  "" hammer home "" the basic principles underlying the transformation .  what do you think ?  hope you have a great weekend .  john  john d . martin  carr p . collins chair in finance  finance department  baylor university  po box 98004  waco , tx 76798  254 - 710 - 4473 ( office )  254 - 710 - 1092 ( fax )  j _ martin @ baylor . edu  web : http : / / hsb . baylor . edu / html / martinj / home . html",0
"Subject: gas prices  vince -  1 . we can detect "" hoarding "" of pipeline capacity as an elevated basis against  the actual inflow .  2 . we can detect "" market power "" by dissociating the seller from the buyer ,  distinguishing between the physical "" cost "" in gas to run the generators and  the transmission cost in dollars , i . e . the basis .  3 . ( as you noted ) we can detect "" storage "" as the difference between inflow  and consumption .  it appears to me there are two time series needed for a straightforward model  of gas prices : flow rates at interconnects ( from telemetry ) and spot - market  prices . there is an elevated basis reflecting pipeline companies monopolizing  capacity , as well as hoarding of capacity by contracts . the dynamics of gas  prices reflect consumption demand changes due to changes in expectations for  the weather , as well as their impact on two highly strategic behaviors :  hoarding of pipeline capacity and storage of gas . we can "" calibrate "" the  price elasticity of demands for consumption and storage , and the price  elasticities of demand for transmission , as well as the extent of hoarding ,  from the two sets of numbers mentioned : flows and prices . what the basis  trader needs to understand are the incentives , and disincentives , for storage  and capacity - hoarding , in terms of the calibrated price - elasticities , and  each of these are as - if exotic call options at the consumption hub . finally ,  flows are "" explained "" by the model , and can be imputed from prices if  necessary , resulting in a purely stochastic model of the basis in terms of  the weather .  i believe the problem is quite tractable , and i would like to proceed with a  model .  clayton",0
"Subject: mail delivery failed : returning message to sender  this message was created automatically by mail delivery software .  a message that you sent could not be delivered to one or more of its  recipients . this is a permanent error . the following address ( es ) failed :  woksal @ eunet . yu  ( generated from info @ woksal . com )  smtp error from remote mailer after end of data :  host relay . eunet . yu [ 194 . 247 . 192 . 179 ] : 554 5 . 6 . 1 we do not accept spam  - - - - - - this is a copy of the message , including all the headers . - - - - - -  return - path :  received : from [ 62 . 21 . 124 . 244 ] ( helo = mailwisconsin . com )  by cpanel 30 . gzo . com with smtp ( exim 4 . 43 )  id ldupnr - 0001 mx - kg  for info @ woksal . com ; tue , 19 jul 2005 05 : 57 : 58 - 0500  received : from 205 . 214 . 42 . 66  ( squirrelmail authenticated user projecthoneypot @ projecthoneypot . org ) ;  by mailwisconsin . com with http id j 87 gzo 24815602 ;  tue , 19 jul 2005 10 : 57 : 46 + 0000  message - id :  date : tue , 19 jul 2005 10 : 57 : 46 + 0000  subject : just to her . . .  from : "" barry castillo ""  to : info @ woksal . com  user - agent : squirrelmail / 1 . 4 . 3 a  x - mailer : squirrelmail / 1 . 4 . 3 a  mime - version : 1 . 0  content - type : text / html ; charset = iso - 8859 - 1  content - transfer - encoding : 8 bit  x - priority : 3 ( normal )  importance : normal  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  starting at $ 1 . 99 per dose ! unbeiivable !",1
"Subject: access to research project tracking database  kevin kindall brought to my attention that a number of new members in the  group may need to get access to the research projects tracking database in  lotus notes . access can be requested through use of the secutity resource  request form accessed from lotus notes . just submit the form requesting  that you be added as a user of the research group ' s research projects  tracking database .  thanks ,  - - stinson",0
"Subject: all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professional  $ 150 adobe premiere pro 1 . 5  $ 90 corel desiqner 10  $ 90 quickbooks 2004 professional edition  $ 75 adobe pagemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe golive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere eiements  $ 125 corel painter lx  $ 80 adobe iliustrator cs  $ 80 adobe indesiqn cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 ulead cooi 3 d production studio 1 . 0 . 1  $ 90 alias motion builder 6 professionai  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop elements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincereiy ,  aida ",1
"Subject: small - cap stoxs can mean gains for you  * * * * watch this one july 15 - 21 as we know many of you like momentum * * * * * * * * *  breaking news alert issue - - - big news  strong buy alert issued at market close  china world trade corp . symbol : cwtd  current price : $ 2 . 47  7 day target : $ 7 . 00  look for huge news this company back on the move . rumor has the  shorts are going to be broken and stock will run . cwtd website address is  www . chinawtc . com all company info is there . this stock has had good  movement and support the last 15 months it is a strong company growing  in leaps and bounds .  company has been profiled on cnn asia , forbes . com , bloomberg . com , ceo  cast . com , businessweek . com , p . r . newswire , pennystock weekly . com , yahoo  finance has reports for sale . how much more credibility do you need .  amex exchange listing waits in the wings . this is big ! ! ! ! ! ! company filed  for amex 10 months ago and is finally ready to go up based on the 10 k .  symbol cwtd  join in and squezze the shorts : cwtd  take a look at our last strong buy recomendaton we gave you cdgt july 12 th  at $ 3 . 10 and now its $ 3 . 55  get in cwtd while it ' s hot  disclaimer :  information within this email contains "" forwardlooking statements "" within  the meaning of section 27 aof the securities act of 1933 and section 21 b of  thesecurities exchange act of 1934 . any statements that express or involve  discussions with respect to predictions , expectations , beliefs ,  plans , projections , objectives , goals , assumptions or future events or  performance are not statements of historical fact and may be "" forward  looking statements . "" forwardlooking statements are based on  expectations , estimates and projections at the time the statements are made  that involve a number of risks and uncertainties which could cause actual  results or events to differ materially from those presently anticipated .  forward looking statements in this action may be identified through the use  of words such as "" projects "" , "" foresee "" , "" expects "" , "" will , "" "" anticipates , ""  "" estimates , "" "" believes , "" understands "" or that by statements indicating  certain actions "" may , "" "" could , "" or "" might "" occur . risk factors include  general economic and business conditions , the ability to acquire and develop  specific projects , the ability to fund operations and changes in consumer  and business consumption habits and other factors overwhich the company has  little or no control . the publisher of this newsletter does not represent  that the information contained in this message states all material facts or  does not omit a material fact necessary to make the statements therein not  misleading . all information provided within this email pertaining to  investing , stocks , securities must be understood as information provided and  not investment advice . the publisher of this newsletter advises all readers  and subscribers to seek advice from a registered professional securities  representative before deciding to trade in stocks featured within this  email . none of the material within this report shall be construed as any  kind of investment advice or solicitation . many of these companies are on  the verge of bankruptcy . you can lose all your money by investing in this  stock . we urge you to read the company ' s sec filings now , before you invest .  the publisher of this newsletter is not a registered invstment advisor .  subscribers should not view information herein as legal , tax , accounting or  investment advice . in compliance with the securitiesact of 1933 , section  17 ( b ) , the publisher of this newsletter is contracted to receive six hundred  thousand free trading shares from a third party , not an officer , director or  affiliate shareholder for the circulation of this report . be aware of an  inherent conflict of interest resulting from such compensation due to the  fact that this is a paid advertisement and is not without bias . the party  that paid us has a position in the stock they will sell at anytime without  notice . this could have a negative impact on the price of the stock , causing  you to lose money . all factual information in this report was gathered from  public sources , including but not limited to sec filings , company websites  and company press releases . the publisher of this newsletter believes this  informationto be eliable but can make no guarantee as to its accuracy or  completeness . use of the material within this email constitutes your  acceptance of these terms .",1
